Year,StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMale,OldWhiteMale,YoungWhiteFemale,OldWhiteFemale,YoungNonWhiteMale,OldNonWhiteMale,YoungNonWhiteFemale,OldNonWhiteFemale
2010,"CA",6,8,667249,120397,65981,104665,54947,91526,61404,95659,72670
2010,"CA",6,9,649988,94571,59200,91898,63133,111762,53189,112137,64098
2010,"CA",6,10,711957,120633,99202,126540,113979,88906,35347,85060,42290
2010,"CA",6,11,790726,154053,109018,156889,117725,90206,33839,89575,39421
2010,"CA",6,12,655978,96538,76361,86618,85939,96420,52232,96709,65161
2010,"CA",6,13,667840,67005,53836,62565,60046,142843,61675,146395,73475
2010,"CA",6,14,654654,119697,98340,110716,100026,80278,30598,80098,34901
2010,"CA",6,15,688250,93899,70293,85668,74403,129260,51591,127425,55711
2010,"CA",6,16,668121,103968,58045,92633,62652,122332,51180,119395,57916
2010,"CA",6,17,664462,173148,89473,156802,97852,52664,22031,48905,23587
2010,"CA",6,18,726204,170667,75515,163190,79902,92062,31340,80540,32988
2010,"CA",6,19,759459,179671,111404,181308,128546,55199,20399,56807,26125
2010,"CA",6,20,743070,170966,68880,144751,63403,125155,33289,104209,32417
2010,"CA",6,21,794639,186764,92243,177530,104151,90321,28502,85872,29256
2010,"CA",6,22,801417,184749,117454,170220,122475,85969,23234,73275,24041
2010,"CA",6,23,696273,173121,92933,165827,108878,59748,21635,50700,23431
2010,"CA",6,24,687108,143422,113988,140971,122091,64311,19967,58757,23601
2010,"CA",6,25,833546,167085,99055,156556,104967,117347,34000,115083,39453
2010,"CA",6,26,702191,118235,89745,117391,100602,94232,40086,91792,50108
2010,"CA",6,27,694684,128748,80206,125223,97964,90925,37313,91241,43064
2010,"CA",6,28,661126,131293,69840,126007,71431,99760,29730,97707,35358
2010,"CA",6,29,639084,105044,76083,101224,82947,82411,48719,86181,56475
2010,"CA",6,30,650843,138098,114777,133440,125233,48202,17569,50897,22627
2010,"CA",6,31,617286,81929,40211,73521,40647,143342,53745,123494,60397
2010,"CA",6,32,640186,82322,45205,77506,55764,124184,56182,130553,68470
2010,"CA",6,33,647747,78814,37404,69547,37298,132342,60982,145016,86344
2010,"CA",6,34,644666,119987,45116,113647,51863,114327,45165,107269,47292
2010,"CA",6,35,652604,89788,35788,87167,36406,131866,57401,142485,71703
2010,"CA",6,36,658353,132612,82401,123619,84237,81672,32691,80639,40482
2010,"CA",6,37,645662,110332,44575,101837,43600,114505,50260,117205,63348
2010,"CA",6,38,655139,123198,49446,116899,62403,105028,42873,99528,55764
2010,"CA",6,39,642760,87832,50321,83793,56365,130991,47838,128019,57601
2010,"CA",6,40,669897,111143,75693,105983,89713,102362,42618,96481,45904
2010,"CA",6,41,801137,169364,116377,162997,131876,78128,28286,81291,32818
2010,"CA",6,42,681474,124785,88104,119388,93213,82981,40709,86392,45902
2010,"CA",6,43,741833,157739,60842,150969,62988,117391,39198,111250,41456
2010,"CA",6,44,853323,195705,101586,180527,108032,98511,33393,97301,38268
2010,"CA",6,45,907715,181250,130687,176879,139800,105362,33835,102861,37041
2010,"CA",6,46,646672,108974,101939,102032,112176,72384,34748,75789,38630
2010,"CA",6,47,634506,95158,38952,86410,44022,142919,43976,136686,46383
2010,"CA",6,48,725898,143867,105904,139563,120743,75951,27055,81131,31684
2010,"CA",6,49,796782,175358,107080,159146,111124,97008,23805,93064,30197
2010,"CA",6,50,766469,180837,113668,160834,130442,63619,24651,61709,30709
2010,"CA",6,51,776990,150278,75988,150617,81794,110374,45603,105285,57051
2010,"CA",6,52,676691,150237,108329,145963,117341,56078,19521,54864,24358
2010,"CA",6,53,646666,158273,73505,137850,76993,81170,22804,75336,20735
2010,"CO",8,1,666846,155399,81892,146404,88807,72716,23665,71577,26386
