StateAbbreviation,StateFIPS,CongressionalDistrict,Population,WMY,WMO,WFY,WFO,NWMY,NWMO,NWFY,NWFO
"KY",21,6,774392,0.24986311842064485,0.16494230312296615,0.24689950309404024,0.1893498383247761,5.4211562102914286e-2,2.0870566844698808e-2,5.027427969297203e-2,2.358882839698757e-2
"LA",22,1,808968,0.2112432135758151,0.16494719197792743,0.20870788461348286,0.1844980271160293,7.799319626981537e-2,3.140915339049258e-2,8.596878986560655e-2,3.523254319083079e-2
"LA",22,2,797298,8.460575594068968e-2,6.973553175851438e-2,8.1461385830643e-2,7.225529224957293e-2,0.21470140399198293,0.1104781399175716,0.2226908884758271,0.14407160183519838
"LA",22,3,788118,0.2033934004806387,0.14094082358225546,0.19836496565235154,0.15778601681474094,0.10224484150850507,4.0595443829477315e-2,0.10277268124823948,5.390182688379151e-2
"LA",22,4,753143,0.17504378318592884,0.1292476993080995,0.16048081174491433,0.14156275767019014,0.1276291487805105,6.115704454532539e-2,0.1300217886908595,7.485696607417183e-2
"LA",22,5,740217,0.1722049074798336,0.13232335923114438,0.15646763043810125,0.14755402807555082,0.136600483371768,5.749935491889541e-2,0.12883519292315632,6.851504356155019e-2
"LA",22,6,796589,0.20620922458130855,0.14295201163962848,0.1976527418781831,0.1607102282356397,0.10273428330042217,3.7871474499396804e-2,0.10673760245245666,4.513243341296453e-2
"ME",23,1,683279,0.2363529392824893,0.22155371378309593,0.23001585004075933,0.25390360306697557,2.034893506166588e-2,7.346925633599159e-3,2.314427927684006e-2,7.333753854574778e-3
"ME",23,2,652628,0.2325903883989041,0.23519217686032473,0.2253749456045404,0.2539072794915327,2.142568201180458e-2,5.6540632642179e-3,1.9545591056467086e-2,6.309873312208486e-3
"MD",24,1,734002,0.20998035427696382,0.19545723308655835,0.20157846981343375,0.2136560935801265,6.043035305080913e-2,2.948084610123678e-2,5.426143253015659e-2,3.5155217560715095e-2
"MD",24,2,765155,0.14186014598349353,0.11130293862027955,0.1395651861387562,0.13166482608099012,0.16229914200390771,6.06975057341323e-2,0.1715338722219681,8.107638321647248e-2
"MD",24,3,763763,0.16360965378003386,0.13011627952650234,0.1619468342928369,0.14770157758362215,0.12887374748449454,5.293003196017613e-2,0.14047027677433968,7.435159859799441e-2
"MD",24,4,761353,8.319137115109548e-2,6.619793972047132e-2,7.381989694662003e-2,7.184446636448533e-2,0.21416084260520415,0.12180158218329737,0.22010814957056712,0.14887575145825918
"MD",24,5,768507,0.13345356646068285,0.10697104906006061,0.1284841907751003,0.11432166525483828,0.16292759857750158,8.588861259559119e-2,0.159573042275477,0.1083802750007482
"MD",24,6,779616,0.17559670401838853,0.14424537208061405,0.16340993514755983,0.16289557936214752,0.12407775109797645,5.8490333702745964e-2,0.11284401551533063,5.844030907523704e-2
"MD",24,7,718158,9.547481194945959e-2,8.325187493559913e-2,9.221647604009145e-2,8.842761620701851e-2,0.184594476424408,0.11507634810167122,0.19530521138802326,0.14565318495372884
"MD",24,8,761623,0.16543224141077673,0.15073336808368445,0.1690193179565218,0.1715612579977233,0.11315703438577879,4.853319818335318e-2,0.11308744615117979,6.8476135830982e-2
